Day,Exp,Plant,Species,label,Rds,DIgs,tds,tgs,dRds,dRgs,dtds,dtgs,SRds,SDIgs,Stds,Stgs
0.01477338,Facility_A,A,TOMATO,healthy,0.034395224255829485,8.531629578989152e-07,53.10617257255671,3.5650450274783823,,,,,,,,
0.034656134,Facility_A,A,TOMATO,healthy,7.769292853011978e-05,3.65458854127148e-07,12.10746736164892,8.52252005174823,,,,,,,,
0.054543288,Facility_A,A,TOMATO,healthy,0.06176906352646742,5.985599912790371e-08,20.77658850873214,22.124534458566774,,,,,,,,
0.074421642,Facility_A,A,TOMATO,healthy,0.07184162312226189,2.2618925203607802e-07,4.161945421856733,20.054446423053935,,,,,,,,
0.094309721,Facility_A,A,TOMATO,healthy,0.0686779592933095,1.320612430991676e-06,39.18547077815688,15.821765498097054,,,,,,,,
0.114196067,Facility_A,A,TOMATO,healthy,0.04448336100918621,6.511430219849099e-07,36.24471197043775,9.347464892665974,,,,,,,,
0.134083333,Facility_A,A,TOMATO,healthy,0.07541730049777984,2.005638784893433e-06,7.68352899642595,9.446174075664697,,,,,,,,
0.153959258,Facility_A,A,TOMATO,healthy,0.024951518682564906,1.1080065190500694e-06,4.924661855831424,0.23090699493408864,,,,,,,,
0.173845254,Facility_A,A,TOMATO,healthy,0.031803612039932184,1.61362596567688e-06,17.364134881522215,15.505527722290314,,,,,,,,
0.193734608,Facility_A,A,TOMATO,healthy,0.024689180604036107,1.1584066475177725e-07,49.116442941641985,23.147733466665517,,,,,,,,
0.213617592,Facility_A,A,TOMATO,healthy,0.005033297975530918,1.141529320198496e-06,45.95344917666551,15.575669974830284,,,,,,,,
0.233505325,Facility_A,A,TOMATO,healthy,0.034868844053537254,6.659315894472154e-07,56.26200918068449,4.6134401715424636,,,,,,,,
0.253393054,Facility_A,A,TOMATO,healthy,0.033610465697018685,5.983088903338655e-07,16.336695939739435,15.846231100316524,,,,,,,,
0.273285533,Facility_A,A,TOMATO,healthy,0.031012034895961084,1.4178033665026748e-06,7.128686607814587,16.225045901345094,,,,,,,,
0.293175808,Facility_A,A,TOMATO,healthy,0.05959762407758796,1.9048940059481125e-06,37.63866042070784,17.365835047144643,,,,,,,,
0.313070025,Facility_A,A,TOMATO,healthy,0.0021106841056706886,2.3152296479255264e-07,4.712724853925055,1.2144452685457678,,,,,,,,
0.332967363,Facility_A,A,TOMATO,healthy,0.05572496434347116,2.0238645124777395e-06,23.801274614296013,23.20407064998906,,,,,,,,
0.352862846,Facility_A,A,TOMATO,healthy,0.05334902558198605,3.48752919007618e-07,34.51189688579355,19.174304927323888,,,,,,,,
0.372766204,Facility_A,A,TOMATO,healthy,0.0524555697457067,7.428167170099347e-07,9.08742864570917,4.6371262201393,,,,,,,,
0.392643517,Facility_A,A,TOMATO,healthy,0.06410757815913261,1.2619410341561246e-06,11.604045662767307,23.30931849120939,,,,,,,,
0.412546413,Facility_A,A,TOMATO,healthy,0.04705392728188228,1.2779886485810076e-06,39.91553205201743,18.91682851668328,,,,,,,,
0.432450458,Facility_A,A,TOMATO,healthy,0.03943713461333716,1.9017804390530383e-06,52.09200758004108,7.525638521622242,,,,,,,,
0.452357167,Facility_A,A,TOMATO,healthy,0.004840716798972886,9.839615608554297e-07,7.010532313894115,5.328375334906138,,,,,,,,
0.472264125,Facility_A,A,TOMATO,healthy,0.03569328332235453,1.1240720264204753e-06,4.420862239337766,2.585418896413991,,,,,,,,
0.492175708,Facility_A,A,TOMATO,healthy,0.005786605460023944,1.8390951133859671e-06,35.13483807527799,16.0755627143564,,,,,,,,
0.512086583,Facility_A,A,TOMATO,healthy,0.0440501518106352,1.4705855410770441e-06,45.55200667108114,1.6635321198388295,,,,,,,,
0.531997125,Facility_A,A,TOMATO,healthy,0.013327716520958382,1.733639976246184e-06,44.65443671436403,5.384544863503369,,,,,,,,
0.5518955,Facility_A,A,TOMATO,healthy,0.059988293521665334,1.8422404942303939e-06,11.338341758240821,16.982266875420283,,,,,,,,
0.571807167,Facility_A,A,TOMATO,healthy,0.05714801028035425,2.1096601938585453e-07,42.52517997198713,12.801801043865197,,,,,,,,
0.591730542,Facility_A,A,TOMATO,healthy,0.04537502841145371,1.376382391515144e-06,29.131030612888974,23.44169665425454,,,,,,,,
0.611644542,Facility_A,A,TOMATO,healthy,0.034180907809011694,1.9010163492057983e-06,28.558170757265483,19.47495456676674,,,,,,,,
0.631569,Facility_A,A,TOMATO,healthy,0.023217553749566164,2.0305992712191068e-06,21.24379459766691,18.53628166761143,,,,,,,,
0.651453708,Facility_A,A,TOMATO,healthy,0.03920476532532972,7.056164838302503e-07,39.29111248584628,4.345490435194655,,,,,,,,
0.671379417,Facility_A,A,TOMATO,healthy,0.03238703333062663,1.7172170685133711e-06,36.070567696698895,5.323140007994229,,,,,,,,
0.691308458,Facility_A,A,TOMATO,healthy,0.02553036965890929,2.9007207295146512e-08,21.96644052197299,1.0101785696611294,,,,,,,,
0.711239708,Facility_A,A,TOMATO,healthy,0.0629221077506604,2.6156495809813743e-06,24.13899311806957,20.92191127166691,,,,,,,,
0.731175583,Facility_A,A,TOMATO,healthy,0.075597238135936,1.3197218088096063e-06,13.962761144863986,17.9004303044766,,,,,,,,
0.751107542,Facility_A,A,TOMATO,healthy,0.04991799127278661,1.4444917350945783e-06,40.10254364740678,0.6671519396214473,,,,,,,,
0.771035875,Facility_A,A,TOMATO,healthy,0.07562695244758937,1.9739226432685856e-06,9.348812556512094,0.43088794323053387,,,,,,,,
0.790967708,Facility_A,A,TOMATO,healthy,0.020104164650750524,1.834275164861779e-06,34.12344422647413,3.2788218845555925,,,,,,,,
0.810902792,Facility_A,A,TOMATO,healthy,0.012684162730091042,1.8135250078915041e-06,28.81186948840647,18.588434161010316,,,,,,,,
0.830841417,Facility_A,A,TOMATO,healthy,0.07914801913676209,1.5022627207423573e-06,21.377469249979182,16.861789351409925,,,,,,,,
0.850776625,Facility_A,A,TOMATO,healthy,0.009640926138722734,1.6867766985314425e-06,1.8112353679046218,16.70784106600219,,,,,,,,
0.8707095,Facility_A,A,TOMATO,healthy,0.06890359204608791,2.0202983108626276e-06,9.072460395384642,13.14874969016688,,,,,,,,
0.8906435,Facility_A,A,TOMATO,healthy,0.06968487155121586,1.1150579694410937e-06,12.772075784995172,18.263193767465076,,,,,,,,
0.910572917,Facility_A,A,TOMATO,healthy,0.0693750121242272,1.631307679456058e-06,31.78056722798226,20.7681242874913,,,,,,,,
